PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J0729-1448,0.251659,1.13e-13,0.0084,0.83,91.70 ,-1.70
J0729-1836,0.510160,1.90e-14,0.0055,1.90,61.29 ,-1.70
J0733-2345,1.796250,5.70e-15,0.02,0.07,194.00 ,-1.6
J0737-2202,0.320366,5.47e-15,0.0063,0.47,95.70 ,-1.6
J0737-3039A,0.022699,1.76e-18,0.0143,1.60,48.92 ,-1.6
J0737-3039B,2.773461,8.92e-16,0.058,1.30,48.92 ,-1.6
J0738-4042,0.374920,1.62e-15,0.0227,99.70,160.90 ,-1.89
J0742-2822,0.166762,1.68e-14,0.0042,26.00,73.73 ,-2.00
J0745-5353,0.214836,2.73e-15,0.0107,5.00,121.38 ,-1.60
J0746-4529,2.791025,1.67e-14,0.0194,0.20,134.57 ,-1.6
J0749-4247,1.095452,9.77e-16,0.014,0.50,104.59 ,-1.6
J0751+1807,0.003479,7.79e-21,0.0007,3.20,30.25 ,-1.60
J0754+3231,1.442349,1.08e-15,0.0122,0.60,39.99 ,-1.50
J0758-1528,0.682265,1.62e-15,0.0034,2.60,63.33 ,-1.10
J0804-3647,2.191987,4.21e-15,0.03795,0.29,196.00 ,-1.6
J0807-5421,0.526644,3.78e-16,0.0102,0.40,165.03 ,-1.6
J0808-3937,0.866349,4.01e-16,0.01319,0.21,165.00 ,-1.6
J0809-4753,0.547199,3.08e-15,0.0081,2.60,228.30 ,-1.6
J0812-3905,0.482596,4.49e-17,0.03706,0.38,327.00 ,-1.6
J0818-3049,0.763742,5.80e-16,0.00641,0.33,133.70 ,-1.6
J0818-3232,2.161259,7.53e-16,0.0234,1.40,131.80 ,-1.70
J0820-1350,1.238130,2.11e-15,0.0217,6.00,40.94 ,-2.20
J0820-3826,0.124836,2.44e-15,0.0056,0.49,195.56 ,-1.80
J0820-3921,1.073567,1.22e-14,0.0629,0.40,179.40 ,-2.08
J0820-4114,0.545446,1.89e-17,0.1385,5.00,113.40 ,-1.6
J0821-4221,0.396728,3.48e-15,0.0155,0.80,270.60 ,-3.15
J0823+0159,0.864873,1.05e-16,0.0195,4.00,23.73 ,-2.30
J0826+2637,0.530661,1.71e-15,0.0058,10.00,19.48 ,-1.60
J0828-3417,1.848919,9.96e-16,0.74,0.25,52.20 ,-1.6
J0831-4406,0.311674,1.28e-15,0.0061,0.43,254.00 ,-1.10
J0834-4159,0.121116,4.44e-15,0.0047,0.28,240.50 ,-1.60
J0835-3707,0.541404,9.78e-15,0.0049,0.28,112.30 ,-1.6
J0835-4510,0.089328,1.25e-13,0.0014,1050.00,67.97 ,-1.30
J0837+0610,1.273768,6.80e-15,0.0248,5.00,12.86 ,-2.70
J0837-4135,0.751624,3.54e-15,0.0044,35.00,147.29 ,-1.6
J0838-2621,0.308581,3.90e-17,0.006,0.50,116.90 ,-4.84
J0838-3947,1.703946,8.13e-16,0.057,0.11,219.00 ,-1.6
J0840-5332,0.720612,1.64e-15,0.0218,1.70,156.50 ,-1.6
J0842-4851,0.644354,9.50e-15,0.0063,1.10,196.85 ,-1.6
J0843-5022,0.208956,1.72e-16,0.0045,0.70,178.47 ,-1.99
J0846-3533,1.116097,1.60e-15,0.0186,5.00,94.16 ,-2.00
J0849-6322,0.367953,7.91e-16,0.005,1.00,91.29 ,-1.6
J0855-3331,1.267536,6.32e-15,0.0228,0.60,86.64 ,-2.00
J0855-4644,0.064686,7.26e-15,0.0042,0.28,236.40 ,-1.20
J0855-4658,0.575072,1.36e-14,0.011,0.23,472.70 ,-1.6
