PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J1321-5922,1.279058,2.37e-15,0.026,0.19,383.00 ,-1.6
J1322-6241,0.506058,2.59e-15,0.0087,0.37,618.80 ,-1.6
J1322-6329,2.764209,1.11e-14,0.034,0.17,659.00 ,-1.6
J1324-6146,0.844109,5.58e-15,0.072,0.73,828.00 ,-1.6
J1324-6302,2.483804,9.79e-16,0.018,0.23,497.00 ,-1.6
J1326-5859,0.477991,3.24e-15,0.0056,18.00,287.30 ,-1.80
J1326-6408,0.792670,3.10e-15,0.0077,1.90,502.70 ,-2.50
J1326-6700,0.543009,5.31e-15,0.0419,13.60,209.60 ,-1.10
J1327-6222,0.529913,1.89e-14,0.0088,21.00,318.80 ,-1.6
J1327-6301,0.196479,1.53e-15,0.0048,4.20,294.91 ,-1.70
J1327-6400,0.280678,3.12e-14,0.0115,0.21,679.00 ,-1.30
J1328-4357,0.532699,3.01e-15,0.0104,4.40,42.00 ,-1.6
J1329-6158,1.565218,3.39e-14,0.031,0.22,514.00 ,-1.6
J1331-5245,0.648117,5.10e-16,0.0279,0.30,148.40 ,-1.6
J1332-3032,0.650434,5.60e-16,0.034,0.30,15.10 ,-1.6
J1333-4449,0.345603,5.40e-19,0.0013,0.30,44.30 ,-1.6
J1334-5839,0.107718,2.16e-17,0.0041,0.62,119.30 ,-1.6
J1337-6306,0.207953,3.56e-16,0.012,0.11,777.70 ,-1.6
J1337-6423,0.009423,2.47e-20,0.00073,0.29,259.20 ,-1.6
J1338-6204,1.238990,1.39e-14,0.0895,5.90,640.30 ,-1.40
J1339-4712,0.137055,5.30e-19,0.0019,0.70,39.90 ,-1.6
J1339-6618,0.558179,3.50e-16,0.026,0.23,241.00 ,-1.6
J1340-6456,0.378622,5.05e-15,0.0141,0.90,76.99 ,-1.6
J1341-6023,0.627285,1.95e-14,0.0092,0.63,364.60 ,-1.6
J1341-6220,0.193340,2.53e-13,0.0077,2.70,719.65 ,-0.92
J1342+2822B,0.002389,1.86e-20,0.0002,0.01,26.15 ,-1.6
J1344-6059,0.540102,4.30e-17,0.029,0.19,435.00 ,-1.6
J1345-6115,1.253085,3.25e-15,0.027,0.59,278.10 ,-1.80
J1346-4918,0.299625,3.50e-17,0.01,0.50,74.42 ,-1.6
J1347-5947,0.609962,1.42e-14,0.011,0.67,293.40 ,-2.10
J1348-6307,0.927772,3.79e-15,0.079,0.51,597.00 ,-3.06
J1349-6130,0.259363,5.13e-15,0.004,0.76,284.50 ,-1.00
J1352-6803,0.628903,1.23e-15,0.0271,1.00,214.60 ,-2.99
J1354-6249,2.951938,1.48e-14,0.057,0.24,254.00 ,-1.6
J1355-5747,2.038674,7.15e-16,0.029,0.36,229.00 ,-1.6
J1355-5925,1.213381,5.99e-15,0.021,0.55,354.80 ,-1.52
J1355-6206,0.276603,3.10e-18,0.019,0.54,547.00 ,-1.6
J1356-5521,0.507380,7.24e-16,0.0154,0.90,174.17 ,-1.6
J1357-6429,0.166108,3.60e-13,0.0126,0.52,128.50 ,-1.40
J1359-6038,0.127501,6.34e-15,0.0025,12.50,293.74 ,-1.90
J1401-6357,0.842790,1.67e-14,0.0091,7.10,98.00 ,-1.80
J1403-6310,0.399170,9.00e-17,0.018,0.65,305.00 ,-1.6
J1403-7646,1.306198,1.20e-15,0.0943,0.80,100.60 ,-1.6
J1404+1159,2.650439,1.37e-15,0.0037,0.03,18.47 ,-1.6
J1405-5641,0.617575,1.20e-15,0.013,0.10,273.00 ,-1.6
J1406-5806,0.288349,6.11e-16,0.049,0.84,229.00 ,-1.6
J1406-6121,0.213075,5.47e-14,0.0117,0.44,537.80 ,-0.50
J1407-6048,0.492344,3.16e-15,0.021,0.20,575.20 ,-1.6
J1407-6153,0.701615,8.85e-15,0.057,0.36,645.00 ,-1.6
J1409-6953,0.528591,8.40e-16,0.0238,0.30,167.63 ,-1.6
J1410-6132,0.050052,3.20e-14,0.017,1.90,961.00 ,-1.6
J1410-7404,0.278729,6.74e-18,0.0011,1.20,54.24 ,-1.6
J1412-6111,0.529156,1.91e-15,0.012,0.44,311.80 ,-2.27
J1412-6145,0.315225,9.87e-14,0.0102,0.69,514.40 ,-1.50
J1413-6141,0.285625,3.33e-13,0.0134,0.82,670.60 ,-0.50
J1413-6222,0.292408,2.23e-15,0.023,0.96,808.10 ,-1.6
J1413-6307,0.394946,7.43e-15,0.0031,1.20,121.98 ,-1.40
J1415-6621,0.392479,5.80e-16,0.0069,0.50,260.17 ,-2.13
J1416-5033,0.794883,1.20e-16,0.0139,0.10,58.50 ,-1.6
J1416-6037,0.295580,4.28e-15,0.013,0.70,289.20 ,-1.6
J1418-3921,1.096806,8.89e-16,0.0204,1.00,60.49 ,-1.6
J1418-5945,1.672596,2.71e-16,0.064,0.18,369.00 ,-1.6
J1420-5625,0.034117,6.75e-20,0.0013,0.13,64.56 ,-1.6
J1420-6048,0.068180,8.32e-14,0.0085,1.19,360.15 ,-0.30
J1424-5556,0.770375,7.80e-16,0.022,0.38,198.70 ,-1.65
J1424-5822,0.366734,3.94e-15,0.009,1.30,323.90 ,-1.90
J1424-6438,1.023504,2.40e-16,0.068,0.24,248.00 ,-1.6
J1425-5723,0.353263,2.20e-17,0.0071,0.24,43.40 ,-1.6
J1425-5759,0.707868,7.42e-16,0.0096,0.09,325.00 ,-1.6
J1425-6210,0.501730,4.78e-16,0.011,0.19,430.10 ,-1.6
J1427-4158,0.586486,6.21e-16,0.0137,0.30,71.00 ,-1.6
J1428-5530,0.570290,2.08e-15,0.0122,6.50,82.40 ,-1.6
J1429-5935,0.763915,4.28e-14,0.014,0.11,456.70 ,-1.6
J1430-6623,0.785441,2.77e-15,0.0039,16.30,65.30 ,-1.6
J1431-5740,0.004111,6.42e-21,0.000176,0.35,131.46 ,-1.6
J1432-5032,2.034989,5.92e-15,0.0633,0.30,113.00 ,-1.6
J1433-6038,1.954430,5.63e-15,0.035,0.23,409.00 ,-1.6
J1434-6006,0.306368,3.02e-15,0.0055,0.24,332.00 ,-1.6
J1434-6029,0.963348,1.03e-15,0.019,0.14,282.00 ,-1.6
J1435-5954,0.472995,1.54e-15,0.0162,1.60,44.26 ,-1.6
J1435-6100,0.009348,2.45e-20,0.0011,0.25,113.70 ,-1.6
J1437-5959,0.061696,8.59e-15,0.007,0.07,549.60 ,-1.6
J1437-6146,0.467616,6.33e-15,0.017,0.24,200.50 ,-1.6
J1440-6344,0.459605,1.12e-15,0.0097,0.78,124.20 ,-1.6
J1441-6137,1.175840,3.60e-16,0.018,0.15,166.00 ,-1.6
J1443-5122,0.732061,3.38e-16,0.0401,0.60,87.00 ,-1.6
J1444-5941,2.760228,8.23e-15,0.047,0.42,177.10 ,-2.85
J1446-4701,0.002195,9.81e-21,0.0001,0.40,55.83 ,-1.6
J1449-5846,0.463330,8.60e-17,0.015,0.28,216.60 ,-1.6
J1452-5851,0.386625,5.07e-14,0.0075,0.33,260.50 ,-1.20
J1452-6036,0.154991,1.45e-15,0.0015,1.90,349.54 ,-1.10
J1453-6413,0.179485,2.75e-15,0.0031,18.00,71.25 ,-1.6
J1454-5846,0.045249,8.17e-19,0.0029,0.24,115.95 ,-1.6
J1455-3330,0.007987,2.43e-20,0.0008,1.20,13.57 ,-1.80
J1456-6843,0.263377,9.83e-17,0.0124,64.20,8.64 ,-1.10
J1457-5900,1.498637,3.66e-15,0.062,0.24,175.00 ,-1.6
J1457-5902,0.390739,1.23e-14,0.0084,0.26,477.20 ,-1.6
J1501-5637,0.782949,1.70e-16,0.025,0.21,258.00 ,-1.6
J1502-5653,0.535504,1.83e-15,0.0072,0.39,194.00 ,-1.6
J1502-5828,0.668105,3.64e-14,0.022,0.50,584.00 ,-1.6
J1502-6128,0.842104,1.35e-15,0.029,0.56,256.50 ,-2.95
J1502-6752,0.026744,3.15e-19,0.00297,0.69,151.20 ,-1.6
J1504-5621,0.412985,5.53e-15,0.011,0.24,143.00 ,-1.6
J1507-4352,0.286757,1.60e-15,0.0039,0.90,48.70 ,-1.6
J1507-6640,0.355655,1.16e-15,0.0028,0.60,129.80 ,-2.80
J1509-5850,0.088922,9.17e-15,0.0055,0.21,142.10 ,-1.6
J1509-6015,0.339038,2.12e-15,0.013,0.17,423.60 ,-1.6
J1511-5414,0.200384,4.85e-16,0.0059,0.75,84.76 ,-1.6
J1511-5835,0.301511,3.44e-16,0.016,0.50,332.00 ,-3.09
J1512-5431,2.040532,1.92e-15,0.11,0.38,219.00 ,-1.6
J1512-5759,0.128694,6.85e-15,0.0049,7.80,627.47 ,-1.6
J1513-5739,0.973458,2.75e-14,0.021,0.77,469.70 ,-1.6
J1513-5908,0.151251,1.53e-12,0.0145,1.43,252.50 ,-1.50
J1514-4834,0.454839,9.25e-16,0.008,1.30,51.50 ,-1.6
J1514-5925,0.148796,2.88e-15,0.0038,0.29,194.00 ,-1.6
J1515-5720,0.286646,6.10e-15,0.007,0.25,480.60 ,-2.00
J1517-4356,0.650837,2.16e-16,0.0108,0.50,87.78 ,-1.6
J1517-4636,0.886612,2.10e-15,0.0155,0.30,127.00 ,-1.6
J1518+0204A,0.005554,4.12e-20,0.00037,0.12,30.08 ,-1.6
J1518+0204C,0.002484,2.61e-20,0.00015,0.04,29.31 ,-1.6
J1518-5415,0.214925,4.06e-17,0.004,0.08,167.20 ,-1.6
J1519-5734,0.518758,4.27e-15,0.042,0.45,664.00 ,-1.6
J1519-6106,2.154307,8.37e-15,0.025,0.19,221.00 ,-1.6
J1519-6308,1.254052,5.96e-15,0.022,0.32,250.00 ,-1.6
J1522-5525,1.389605,3.30e-15,0.01,0.25,79.00 ,-1.6
J1522-5829,0.395353,2.00e-15,0.0132,6.00,199.90 ,-1.6
J1524-5625,0.078219,3.90e-14,0.008,1.28,152.20 ,-0.90
J1524-5706,1.116049,3.56e-13,0.0143,0.45,832.00 ,-1.30
J1524-5819,0.961043,1.26e-13,0.013,0.09,406.60 ,-1.6
J1525-5417,1.011694,1.62e-14,0.015,0.18,235.00 ,-1.6
J1525-5523,0.355156,8.96e-18,0.031,0.21,124.70 ,-1.6
J1525-5545,0.011360,1.31e-19,0.00054,0.33,126.93 ,-1.6
J1525-5605,0.280349,1.16e-16,0.025,0.25,338.00 ,-1.6
J1526-5633,0.301888,1.23e-16,0.013,0.11,329.00 ,-1.6
J1527-5552,1.048705,1.13e-14,0.017,0.84,362.70 ,-1.6
J1528-3146,0.060822,2.49e-19,0.0004,0.40,18.16 ,-1.6
J1528-4109,0.526556,3.96e-16,0.0072,0.60,89.50 ,-1.6
J1528-5547,3.467302,7.75e-15,0.0529,0.07,269.00 ,-1.6
J1529-3828,0.008486,2.70e-20,0.00123,0.16,73.62 ,-1.6
J1529-5355,0.891265,8.10e-16,0.056,0.37,292.00 ,-1.6
J1529-5611,0.822249,4.10e-15,0.042,0.14,149.00 ,-1.6
J1530-5327,0.278957,4.68e-15,0.0079,0.92,49.60 ,-0.90
J1531-4012,0.356849,9.63e-17,0.0069,0.40,106.65 ,-1.6
J1531-5610,0.084202,1.37e-14,0.0049,0.87,110.41 ,-0.40
J1532+2745,1.124836,7.80e-16,0.0257,0.80,14.69 ,-2.00
J1532-5308,0.443825,6.50e-17,0.026,0.25,181.00 ,-1.6
J1534-4428,1.221426,1.80e-16,0.0119,0.70,137.30 ,-1.6
J1534-5334,1.368881,1.43e-15,0.0122,6.80,24.82 ,-1.6
J1534-5405,0.289689,1.54e-15,0.0043,1.40,190.82 ,-2.30
J1535-4114,0.432866,4.07e-15,0.0148,2.90,66.28 ,-1.6
J1535-5450,0.566734,1.43e-14,0.0094,0.17,219.80 ,-1.6
J1535-5848,0.307178,2.72e-15,0.0058,0.35,107.00 ,-1.6
J1536-3602,1.319759,7.90e-16,0.0799,1.90,96.00 ,-1.6
J1536-5433,0.881438,1.91e-15,0.0335,1.80,147.50 ,-1.6
J1536-5907,0.557841,1.37e-15,0.013,0.22,316.00 ,-1.6
J1537+1155,0.037904,2.42e-18,0.00031,0.60,11.62 ,-1.90
J1537-4912,0.301311,1.93e-15,0.022,0.31,69.70 ,-1.6
J1537-5153,1.528124,4.17e-15,0.023,0.07,93.00 ,-1.6
J1537-5645,0.430464,2.78e-15,0.067,1.00,707.00 ,-1.04
J1538-5438,0.276726,1.42e-15,0.011,0.24,136.90 ,-1.6
J1538-5519,0.395731,4.10e-17,0.086,0.42,611.00 ,-1.6
J1538-5551,0.104675,3.21e-15,0.0074,0.33,604.60 ,-1.6
J1538-5621,1.908494,7.31e-15,0.0341,0.14,150.00 ,-1.6
J1538-5638,0.843980,7.12e-15,0.046,0.28,546.00 ,-1.6
J1538-5750,0.506568,4.20e-17,0.0047,0.06,91.00 ,-1.6
J1539-4828,1.272842,1.27e-15,0.0198,0.20,117.00 ,-1.6
J1539-5521,1.004958,7.28e-16,0.023,0.14,380.00 ,-1.6
J1539-5626,0.243392,4.85e-15,0.0076,5.00,175.85 ,-1.04
J1540-5736,0.612916,4.21e-16,0.014,0.24,304.50 ,-1.6
J1541-5535,0.295838,7.50e-14,0.0049,0.30,426.10 ,-1.6
J1542-5034,0.599245,3.97e-15,0.0053,0.30,91.00 ,-1.6
J1542-5133,1.783865,5.89e-16,0.035,0.27,186.00 ,-1.6
J1542-5303,1.207568,7.78e-14,0.054,0.35,265.70 ,-1.6
J1543-0620,0.709064,8.80e-16,0.0063,2.00,18.38 ,-2.50
J1543+0929,0.748448,4.32e-16,0.0462,5.90,34.98 ,-2.10
J1543-5013,0.644255,1.01e-14,0.015,0.17,211.00 ,-1.6
J1543-5149,0.002057,1.62e-20,0.00027,0.55,50.93 ,-1.6
J1543-5459,0.377119,5.20e-14,0.0107,0.81,345.90 ,-1.6
J1544-5308,0.178554,6.07e-17,0.004,5.00,35.16 ,-1.6
J1545-4550,0.003575,5.25e-20,0.000128,0.75,68.39 ,-1.6
J1546-5302,0.580840,1.18e-14,0.0088,0.32,287.00 ,-1.6
J1547-5750,0.647198,2.56e-17,0.039,0.23,148.00 ,-1.6
J1547-5839,0.242190,5.94e-16,0.013,0.41,222.30 ,-1.6
J1548-4821,0.145655,8.00e-19,0.012,0.51,126.00 ,-1.6
J1548-4927,0.602738,4.05e-15,0.012,0.69,141.20 ,-1.90
J1548-5607,0.170934,1.07e-14,0.0043,1.39,314.66 ,-1.80
J1549-4848,0.288347,1.41e-14,0.0059,1.60,55.98 ,-1.90
J1549-5722,0.497772,4.70e-17,0.013,0.10,102.00 ,-1.6
J1550-5242,0.749659,1.78e-14,0.011,0.32,337.70 ,-1.6
J1550-5317,1.421124,9.35e-16,0.085,0.40,600.00 ,-1.6
J1551-4424,0.674060,1.88e-16,0.0316,1.00,66.50 ,-1.6
J1551-5310,0.453394,1.95e-13,0.0332,0.72,491.60 ,-1.6
J1552-4937,0.006284,1.90e-20,0.0009,0.14,114.19 ,-1.6
J1553-5456,1.081328,1.57e-14,0.0084,0.90,210.00 ,-3.60
J1554-5512,3.418039,3.12e-14,0.063,0.11,450.00 ,-1.6
J1555-2341,0.532578,6.94e-16,0.0108,0.90,51.90 ,-1.60
J1555-3134,0.518110,6.22e-17,0.0273,3.80,73.05 ,-1.60
J1556-5358,0.994681,1.04e-14,0.029,0.53,436.00 ,-1.6
J1557-4258,0.329187,3.30e-16,0.0038,2.70,144.50 ,-1.6
J1558-5419,0.594575,6.04e-15,0.022,0.40,657.00 ,-1.6
J1558-5756,1.122342,1.86e-13,0.0095,0.19,127.80 ,-1.6
J1559-4438,0.257056,1.02e-15,0.0065,37.10,56.10 ,-1.6
J1559-5545,0.957242,2.05e-14,0.009,0.72,212.90 ,-1.6
J1600-3053,0.003598,9.50e-21,9.4e-05,2.50,52.33 ,-1.6
J1600-5044,0.192601,5.06e-15,0.0043,21.00,262.79 ,-2.16
J1600-5751,0.194454,2.13e-15,0.0099,2.50,176.55 ,-2.10
J1600-5916,1.247666,8.87e-16,0.13,0.33,177.00 ,-1.6
J1601-5244,2.559357,7.21e-16,0.062,0.13,273.00 ,-1.6
J1601-5335,0.288457,6.24e-14,0.0059,0.25,195.20 ,-1.50
J1602-4957,0.819990,1.59e-14,0.029,0.17,319.00 ,-1.6
J1602-5100,0.864227,6.96e-14,0.0043,7.00,170.79 ,-1.6
J1603-2712,0.778313,3.01e-15,0.0145,1.70,46.20 ,-1.70
J1603-3539,0.141909,1.24e-16,0.0108,0.90,77.50 ,-1.6
J1603-5657,0.496077,2.79e-15,0.0025,0.90,264.07 ,-1.6
J1603-7202,0.014842,1.56e-20,0.001206,3.10,38.05 ,-1.80
J1604-4718,0.527466,4.96e-15,0.011,0.22,52.00 ,-1.6
J1604-4909,0.327418,1.02e-15,0.0038,6.10,140.80 ,-1.60
J1605-5215,1.013609,4.75e-15,0.026,0.22,532.00 ,-1.6
J1605-5257,0.658013,2.56e-16,0.0598,21.00,35.10 ,-1.6
J1607-0032,0.421816,3.06e-16,0.0098,1.70,10.68 ,-1.90
J1607-5140,0.342723,2.54e-15,0.02,0.26,533.00 ,-1.6
J1607-6449,0.298116,2.49e-17,0.003,0.22,89.39 ,-1.6
J1609-1930,1.557917,5.09e-16,0.0138,0.30,37.00 ,-1.6
J1609-4616,0.249609,5.01e-16,0.0056,0.38,150.10 ,-1.6
J1609-5158,1.279402,1.30e-14,0.1,0.27,1069.00 ,-1.6
J1610-5006,0.481119,1.36e-14,0.042,1.60,416.00 ,-1.6
J1610-5303,0.786468,2.62e-15,0.044,0.76,380.10 ,-1.6
J1611-4811,1.296850,1.95e-15,0.033,0.08,221.00 ,-1.6
J1611-4949,0.666438,5.42e-16,0.018,0.58,556.80 ,-1.6
J1611-5209,0.182492,5.17e-15,0.0011,1.45,127.34 ,-1.10
J1611-5847,0.354550,2.01e-18,0.0028,0.11,79.90 ,-1.6
J1612-2408,0.923834,1.57e-15,0.0072,0.50,49.00 ,-1.6
J1612-5136,0.483311,3.78e-15,0.125,0.20,1173.00 ,-1.6
J1612-5805,0.615520,9.35e-16,0.0036,0.30,171.30 ,-1.6
J1613-4714,0.382376,6.32e-16,0.0089,1.40,161.20 ,-2.20
J1613-5211,0.457502,1.92e-14,0.014,0.29,360.10 ,-1.6
J1613-5234,0.655221,6.63e-15,0.031,0.28,624.00 ,-1.6
J1614+0737,1.206801,2.36e-15,0.0119,0.60,21.39 ,-2.70
J1614-3937,0.407292,1.59e-16,0.0144,0.70,152.44 ,-2.05
J1614-5048,0.231694,4.95e-13,0.0084,4.10,582.40 ,-2.16
J1614-5144,1.534008,7.44e-15,0.068,0.16,748.00 ,-1.6
J1614-5402,0.572592,2.90e-17,0.014,0.25,300.00 ,-1.6
J1615-5444,0.360958,3.38e-16,0.0065,0.59,312.60 ,-1.6
J1615-5537,0.791526,2.00e-15,0.0055,0.80,124.48 ,-2.14
J1616-5017,0.491384,4.66e-14,0.00976,0.17,194.00 ,-1.6
J1616-5109,1.219594,1.91e-14,0.22,1.20,1160.00 ,-1.6
J1616-5208,1.025831,2.89e-14,0.043,0.44,488.00 ,-1.6
J1617-4216,3.428466,1.81e-14,0.038,0.28,163.60 ,-1.6
J1617-4608,0.567080,1.65e-14,0.0077,0.15,321.50 ,-1.6
J1617-5055,0.069357,1.35e-13,0.0086,0.27,467.00 ,-1.6
J1618-4723,0.203553,1.99e-15,0.0105,1.00,134.70 ,-1.6
J1620-5414,1.156360,6.74e-17,0.026,0.13,71.00 ,-1.6
J1621-5039,1.084020,1.30e-14,0.02,0.36,261.00 ,-1.6
J1621-5243,0.371924,7.68e-16,0.017,0.27,363.00 ,-1.6
J1622-3751,0.731463,2.57e-15,0.0244,0.20,153.80 ,-1.6
J1622-4332,0.916938,1.56e-15,0.032,0.53,230.68 ,-1.6
J1622-4347,0.457681,5.05e-15,0.0098,0.18,177.00 ,-1.6
J1622-4802,0.265072,3.07e-16,0.017,0.92,364.30 ,-1.10
J1622-4845,0.735092,1.10e-16,0.0175,0.15,292.00 ,-1.6
J1622-4944,1.072968,1.71e-14,0.034,0.52,755.00 ,-1.6
J1622-6617,0.023623,5.88e-20,0.00078,0.60,88.02 ,-1.6
J1623-0908,1.276446,2.58e-15,0.0147,0.60,68.18 ,-1.80
J1623-2631,0.011076,6.71e-19,0.00057,1.60,62.86 ,-2.20
J1623-4256,0.364590,1.02e-15,0.0096,2.70,295.00 ,-1.57
J1623-4949,0.725732,4.21e-14,0.011,0.36,183.30 ,-1.6
J1624-4411,0.233164,7.99e-16,0.0081,0.48,139.40 ,-1.39
J1624-4613,0.871243,6.07e-17,0.17,0.39,224.20 ,-1.6
J1624-4721,0.448723,4.15e-15,0.018,0.15,364.00 ,-1.6
J1625-4904,0.460339,1.68e-14,0.013,0.20,684.80 ,-1.6
J1625-4913,0.355856,6.65e-15,0.0104,0.20,720.00 ,-1.6
J1626-4537,0.370141,8.28e-15,0.0101,1.20,237.00 ,-2.00
J1626-4807,0.293928,1.75e-14,0.0625,0.37,817.00 ,-1.6
J1626-6621,0.450868,7.66e-16,0.0026,0.20,84.11 ,-1.6
J1627-4706,0.140746,1.73e-15,0.0084,0.18,456.10 ,-1.6
J1627-4845,0.612331,3.64e-15,0.036,0.48,557.80 ,-0.92
J1627-5547,0.352464,7.38e-16,0.014,0.65,166.20 ,-2.15
J1627-5936,0.354234,8.00e-18,0.0803,1.60,99.30 ,-1.6
J1628-4804,0.865971,1.24e-15,0.039,1.20,952.00 ,-1.68
J1628-4828,4.137539,1.75e-14,0.24,0.29,1209.00 ,-1.6
J1629-3636,2.988193,7.00e-15,0.0116,0.20,101.00 ,-1.6
J1630-4719,0.559071,1.42e-14,0.01,0.46,489.60 ,-1.6
J1630-4733,0.575971,2.23e-14,0.0827,9.90,498.00 ,-0.30
J1631-4155,0.551241,8.81e-18,0.014,0.19,235.00 ,-1.6
J1632-4509,1.046810,1.49e-14,0.018,0.16,412.00 ,-1.6
J1632-4621,1.709154,7.60e-14,0.0119,0.80,562.90 ,-1.80
J1632-4757,0.228564,1.51e-14,0.017,0.51,574.20 ,-1.6
J1632-4818,0.813453,6.50e-13,0.0477,0.48,758.00 ,-1.6
J1633-4453,0.436507,6.20e-15,0.0076,2.60,474.10 ,-1.6
J1633-4805,0.710830,7.69e-14,0.048,0.23,1120.00 ,-1.6
J1633-5015,0.352142,3.79e-15,0.0062,7.60,398.41 ,-2.20
J1634-5107,0.507356,1.57e-15,0.015,0.05,372.80 ,-1.6
J1634-5640,0.224201,4.10e-17,0.0075,0.30,148.00 ,-1.6
J1635-1511,1.179387,2.32e-16,0.0344,0.50,54.00 ,-1.6
J1635+2418,0.490507,1.19e-16,0.0174,0.40,24.27 ,-2.10
J1635-4513,1.594746,3.60e-15,0.075,0.25,416.00 ,-1.6
J1635-4944,0.671964,8.79e-15,0.04,0.40,474.00 ,-1.6
J1635-5954,0.529121,1.37e-15,0.0232,1.80,134.90 ,-3.35
J1636-4440,0.206649,4.67e-14,0.0101,0.29,449.00 ,-1.6
J1636-4803,1.204644,2.07e-14,0.044,1.10,503.00 ,-2.00
J1636-4933,0.430367,1.51e-15,0.017,0.45,542.70 ,-4.28
J1637-4335,0.771367,3.62e-15,0.04,0.18,608.00 ,-1.6
J1637-4450,0.252870,5.75e-16,0.014,0.40,470.70 ,-1.6
J1637-4553,0.118771,3.19e-15,0.0031,1.50,193.23 ,-1.60
J1637-4642,0.154027,5.92e-14,0.0151,0.93,419.10 ,-0.60
J1637-4721,1.165741,4.44e-15,0.021,0.42,448.00 ,-2.41
J1637-4816,0.837365,5.83e-15,0.067,0.74,738.00 ,-1.6
J1638-3815,0.698261,7.70e-17,0.057,0.67,238.00 ,-2.26
J1638-3951,0.771130,5.90e-16,0.0617,0.21,249.00 ,-1.6
J1638-4344,1.121944,2.50e-17,0.034,0.17,237.00 ,-1.6
J1638-4417,0.117802,1.61e-15,0.0046,0.30,436.40 ,-1.6
J1638-4608,0.278137,5.15e-14,0.0052,0.45,423.10 ,-1.6
J1638-4725,0.763933,4.79e-15,0.054,0.32,552.10 ,-1.6
J1638-5226,0.340503,2.65e-15,0.013,0.60,170.10 ,-2.29
J1639-4359,0.587559,1.50e-17,0.024,0.92,258.90 ,-2.30
J1639-4604,0.264558,2.89e-15,0.0187,1.00,258.91 ,-2.40
J1640+2224,0.003163,2.82e-21,0.00022,2.00,18.46 ,-2.00
J1640-4648,0.178352,8.06e-16,0.015,0.26,474.00 ,-1.6
J1640-4715,0.517405,4.20e-14,0.0213,1.56,586.32 ,-1.10
J1640-4951,0.739099,3.34e-16,0.013,0.15,411.40 ,-1.6
J1641-2347,1.091008,4.11e-17,0.047,1.90,27.70 ,-1.6
J1643-1224,0.004622,1.85e-20,0.000314,4.80,62.41 ,-1.90
J1643-4505,0.237383,3.18e-14,0.0065,0.45,478.60 ,-0.50
J1643-4522,1.347899,8.28e-15,0.021,0.11,482.00 ,-1.6
J1643-4550,0.717508,3.00e-14,0.015,0.34,450.80 ,-1.6
J1644-4559,0.455060,2.01e-14,0.008,300.00,478.80 ,-2.90
J1644-4657,0.125962,7.50e-16,0.0403,0.59,718.00 ,-1.6
J1645-0317,0.387690,1.78e-15,0.0034,11.50,35.76 ,-2.30
J1646-4308,0.840680,1.10e-16,0.185,0.33,595.00 ,-1.6
J1646-4346,0.231603,1.13e-13,0.0109,1.25,490.40 ,-1.40
J1646-5123,0.530075,2.10e-15,0.015,0.17,279.00 ,-1.6
J1646-6831,1.785611,1.70e-15,0.0749,4.90,43.00 ,-1.90
J1647-3607,0.212316,1.29e-16,0.01,0.20,224.00 ,-1.6
J1648-3256,0.719455,3.53e-15,0.0098,0.70,128.28 ,-1.6
J1648-4458,0.629632,1.85e-15,0.042,0.55,925.00 ,-2.20
J1648-4611,0.164950,2.37e-14,0.0109,0.61,392.30 ,-1.6
J1648-6044,0.583765,4.29e-16,0.0102,0.70,106.20 ,-1.6
J1649-3805,0.262026,3.67e-17,0.0066,1.60,213.80 ,-2.12
J1649-3935,0.770910,3.91e-17,0.0228,0.05,290.00 ,-1.6
J1649-4349,0.870712,4.40e-17,0.026,0.75,398.60 ,-1.6
J1649-4653,0.557019,4.97e-14,0.0119,0.37,331.00 ,-1.20
J1649-4729,0.297692,6.55e-15,0.018,0.29,540.20 ,-1.6
J1649-5553,0.613571,1.70e-15,0.0479,1.40,180.40 ,-1.6
J1650-1654,1.749552,3.20e-15,0.0442,1.10,43.25 ,-1.6
J1650-4126,0.308918,1.98e-17,0.0076,0.29,251.50 ,-1.6
J1650-4341,0.309398,1.67e-17,0.02,0.26,673.00 ,-1.6
J1650-4502,0.380870,1.61e-14,0.0052,0.61,320.20 ,-1.6
J1650-4921,0.156399,1.82e-15,0.0024,0.29,229.30 ,0.10
J1651-1709,0.973394,3.04e-15,0.0274,0.30,33.46 ,-2.50
J1651-4246,0.844081,4.81e-15,0.1022,21.40,482.00 ,-2.10
J1651-4519,0.517443,8.19e-15,0.052,0.54,562.00 ,-1.6
J1651-5222,0.635056,1.81e-15,0.0161,4.10,179.10 ,-1.40
J1651-5255,0.890534,2.07e-15,0.0208,3.30,164.00 ,-3.11
J1651-7642,1.755311,1.36e-15,0.0756,0.70,80.00 ,-1.6
J1652-1400,0.305447,1.76e-17,0.0095,0.40,49.50 ,-1.6
J1652-2404,1.703739,3.16e-15,0.0298,1.60,68.41 ,-1.70
J1653-3838,0.305037,2.79e-15,0.0024,2.00,207.20 ,-0.70
J1653-4030,1.019372,4.36e-16,0.125,0.40,425.00 ,-1.6
J1653-4249,0.612558,4.81e-15,0.0119,1.50,416.10 ,1.00
J1653-4315,0.419280,1.50e-17,0.105,0.53,337.00 ,-1.6
J1653-4854,3.059510,3.45e-15,0.075,0.18,354.00 ,-1.6
J1654-2713,0.791822,1.68e-16,0.0117,0.30,92.31 ,-1.6
J1654-3710,0.939165,7.35e-16,0.018,0.22,302.00 ,-1.6
